时间戳	借车需求	还车需求
2024-06-21 00:00	0	0
2024-06-21 00:15	0	0
2024-06-21 00:30	0	0
2024-06-21 00:45	0	0
2024-06-21 01:00	0	0
2024-06-21 01:15	0	0
2024-06-21 01:30	0	0
2024-06-21 01:45	0	0
2024-06-21 02:00	0	0
2024-06-21 02:15	0	0
2024-06-21 02:30	0	0
2024-06-21 02:45	0	0
2024-06-21 03:00	0	0
2024-06-21 03:15	0	0
2024-06-21 03:30	0	0
2024-06-21 03:45	0	1
2024-06-21 04:00	0	1
2024-06-21 04:15	0	1
2024-06-21 04:30	1	1
2024-06-21 04:45	1	1
2024-06-21 05:00	1	1
2024-06-21 05:15	1	2
2024-06-21 05:30	1	2
2024-06-21 05:45	1	2
2024-06-21 06:00	2	2
2024-06-21 06:15	1	5
2024-06-21 06:30	2	4
2024-06-21 06:45	2	7
2024-06-21 07:00	5	14
2024-06-21 07:15	7	12
2024-06-21 07:30	4	15
2024-06-21 07:45	11	11
2024-06-21 08:00	16	10
2024-06-21 08:15	15	10
2024-06-21 08:30	15	6
2024-06-21 08:45	11	6
2024-06-21 09:00	10	6
2024-06-21 09:15	12	5
2024-06-21 09:30	7	6
2024-06-21 09:45	7	5
2024-06-21 10:00	6	11
2024-06-21 10:15	4	8
2024-06-21 10:30	7	8
2024-06-21 10:45	9	13
2024-06-21 11:00	8	16
2024-06-21 11:15	13	16
2024-06-21 11:30	11	19
2024-06-21 11:45	14	14
2024-06-21 12:00	17	11
2024-06-21 12:15	15	11
2024-06-21 12:30	13	8
2024-06-21 12:45	13	5
2024-06-21 13:00	10	5
2024-06-21 13:15	9	5
2024-06-21 13:30	10	3
2024-06-21 13:45	5	5
2024-06-21 14:00	3	4
2024-06-21 14:15	3	8
2024-06-21 14:30	4	5
2024-06-21 14:45	5	8
2024-06-21 15:00	5	7
2024-06-21 15:15	6	9
2024-06-21 15:30	6	7
2024-06-21 15:45	6	10
2024-06-21 16:00	5	10
2024-06-21 16:15	8	10
2024-06-21 16:30	10	9
2024-06-21 16:45	8	12
2024-06-21 17:00	11	15
2024-06-21 17:15	14	15
2024-06-21 17:30	14	15
2024-06-21 17:45	17	17
2024-06-21 18:00	22	15
2024-06-21 18:15	18	11
2024-06-21 18:30	19	13
2024-06-21 18:45	16	11
2024-06-21 19:00	14	13
2024-06-21 19:15	18	9
2024-06-21 19:30	15	7
2024-06-21 19:45	10	8
2024-06-21 20:00	10	7
2024-06-21 20:15	7	5
2024-06-21 20:30	6	6
2024-06-21 20:45	6	5
2024-06-21 21:00	7	3
2024-06-21 21:15	5	4
2024-06-21 21:30	5	1
2024-06-21 21:45	3	1
2024-06-21 22:00	2	1
2024-06-21 22:15	3	1
2024-06-21 22:30	1	0
2024-06-21 22:45	1	0
2024-06-21 23:00	1	0
2024-06-21 23:15	0	0
2024-06-21 23:30	0	0
2024-06-21 23:45	0	0
