时间戳	借车需求	还车需求
2024-06-23 00:00	0	0
2024-06-23 00:15	0	0
2024-06-23 00:30	0	0
2024-06-23 00:45	0	1
2024-06-23 01:00	0	0
2024-06-23 01:15	0	1
2024-06-23 01:30	0	1
2024-06-23 01:45	2	0
2024-06-23 02:00	0	0
2024-06-23 02:15	0	0
2024-06-23 02:30	0	0
2024-06-23 02:45	0	0
2024-06-23 03:00	0	2
2024-06-23 03:15	0	0
2024-06-23 03:30	0	2
2024-06-23 03:45	0	0
2024-06-23 04:00	0	1
2024-06-23 04:15	0	0
2024-06-23 04:30	2	1
2024-06-23 04:45	0	0
2024-06-23 05:00	1	2
2024-06-23 05:15	0	0
2024-06-23 05:30	0	3
2024-06-23 05:45	1	1
2024-06-23 06:00	2	2
2024-06-23 06:15	3	0
2024-06-23 06:30	2	2
2024-06-23 06:45	4	0
2024-06-23 07:00	2	2
2024-06-23 07:15	2	0
2024-06-23 07:30	6	4
2024-06-23 07:45	6	6
2024-06-23 08:00	6	5
2024-06-23 08:15	10	9
2024-06-23 08:30	11	12
2024-06-23 08:45	11	9
2024-06-23 09:00	11	9
2024-06-23 09:15	19	13
2024-06-23 09:30	14	12
2024-06-23 09:45	21	15
2024-06-23 10:00	11	9
2024-06-23 10:15	15	10
2024-06-23 10:30	17	17
2024-06-23 10:45	17	15
2024-06-23 11:00	15	12
2024-06-23 11:15	10	8
2024-06-23 11:30	12	7
2024-06-23 11:45	10	9
2024-06-23 12:00	8	8
2024-06-23 12:15	6	8
2024-06-23 12:30	9	7
2024-06-23 12:45	11	8
2024-06-23 13:00	13	12
2024-06-23 13:15	12	10
2024-06-23 13:30	10	9
2024-06-23 13:45	19	16
2024-06-23 14:00	13	10
2024-06-23 14:15	16	14
2024-06-23 14:30	11	8
2024-06-23 14:45	16	12
2024-06-23 15:00	12	8
2024-06-23 15:15	12	8
2024-06-23 15:30	9	9
2024-06-23 15:45	11	9
2024-06-23 16:00	12	10
2024-06-23 16:15	8	7
2024-06-23 16:30	4	4
2024-06-23 16:45	7	5
2024-06-23 17:00	4	3
2024-06-23 17:15	4	3
2024-06-23 17:30	7	6
2024-06-23 17:45	9	7
2024-06-23 18:00	11	7
2024-06-23 18:15	6	4
2024-06-23 18:30	8	7
2024-06-23 18:45	11	9
2024-06-23 19:00	12	11
2024-06-23 19:15	11	8
2024-06-23 19:30	9	8
2024-06-23 19:45	5	4
2024-06-23 20:00	7	6
2024-06-23 20:15	3	2
2024-06-23 20:30	5	5
2024-06-23 20:45	2	2
2024-06-23 21:00	2	4
2024-06-23 21:15	2	1
2024-06-23 21:30	1	1
2024-06-23 21:45	0	3
2024-06-23 22:00	0	0
2024-06-23 22:15	0	1
2024-06-23 22:30	0	2
2024-06-23 22:45	0	0
2024-06-23 23:00	1	2
2024-06-23 23:15	0	0
2024-06-23 23:30	0	1
2024-06-23 23:45	1	0
