时间戳	借车需求	还车需求
2024-06-17 00:00	0	0
2024-06-17 00:15	0	0
2024-06-17 00:30	0	0
2024-06-17 00:45	0	0
2024-06-17 01:00	2	0
2024-06-17 01:15	2	0
2024-06-17 01:30	2	2
2024-06-17 01:45	2	0
2024-06-17 02:00	2	0
2024-06-17 02:15	1	2
2024-06-17 02:30	2	1
2024-06-17 02:45	2	1
2024-06-17 03:00	1	2
2024-06-17 03:15	2	2
2024-06-17 03:30	0	2
2024-06-17 03:45	4	2
2024-06-17 04:00	3	1
2024-06-17 04:15	3	3
2024-06-17 04:30	6	3
2024-06-17 04:45	5	4
2024-06-17 05:00	7	2
2024-06-17 05:15	6	0
2024-06-17 05:30	10	6
2024-06-17 05:45	10	6
2024-06-17 06:00	13	3
2024-06-17 06:15	9	8
2024-06-17 06:30	18	10
2024-06-17 06:45	16	11
2024-06-17 07:00	51	11
2024-06-17 07:15	50	8
2024-06-17 07:30	57	10
2024-06-17 07:45	55	15
2024-06-17 08:00	106	44
2024-06-17 08:15	72	13
2024-06-17 08:30	69	52
2024-06-17 08:45	73	53
2024-06-17 09:00	32	58
2024-06-17 09:15	35	43
2024-06-17 09:30	21	55
2024-06-17 09:45	26	74
2024-06-17 10:00	10	70
2024-06-17 10:15	5	70
2024-06-17 10:30	16	27
2024-06-17 10:45	13	20
2024-06-17 11:00	16	11
2024-06-17 11:15	18	25
2024-06-17 11:30	19	15
2024-06-17 11:45	21	11
2024-06-17 12:00	16	17
2024-06-17 12:15	34	10
2024-06-17 12:30	26	14
2024-06-17 12:45	27	14
2024-06-17 13:00	24	16
2024-06-17 13:15	22	35
2024-06-17 13:30	17	22
2024-06-17 13:45	18	25
2024-06-17 14:00	15	18
2024-06-17 14:15	16	14
2024-06-17 14:30	15	13
2024-06-17 14:45	17	20
2024-06-17 15:00	20	14
2024-06-17 15:15	22	16
2024-06-17 15:30	26	18
2024-06-17 15:45	24	14
2024-06-17 16:00	45	17
2024-06-17 16:15	44	13
2024-06-17 16:30	43	19
2024-06-17 16:45	80	24
2024-06-17 17:00	82	41
2024-06-17 17:15	77	24
2024-06-17 17:30	104	77
2024-06-17 17:45	107	78
2024-06-17 18:00	103	58
2024-06-17 18:15	133	58
2024-06-17 18:30	131	80
2024-06-17 18:45	141	135
2024-06-17 19:00	115	60
2024-06-17 19:15	115	111
2024-06-17 19:30	78	120
2024-06-17 19:45	87	77
2024-06-17 20:00	38	117
2024-06-17 20:15	33	95
2024-06-17 20:30	37	84
2024-06-17 20:45	28	34
2024-06-17 21:00	29	74
2024-06-17 21:15	27	39
2024-06-17 21:30	25	26
2024-06-17 21:45	29	25
2024-06-17 22:00	9	29
2024-06-17 22:15	4	20
2024-06-17 22:30	4	21
2024-06-17 22:45	3	9
2024-06-17 23:00	3	22
2024-06-17 23:15	2	3
2024-06-17 23:30	0	22
2024-06-17 23:45	0	3
